[INFO ] 16 Jun 2022 14:49:53,629 qa.base.BaseTest:87 - Wait for 
[INFO ] 16 Jun 2022 14:49:53,740 qa.base.BaseTest:101 - Press SLB Title from ProductsPage
[INFO ] 16 Jun 2022 14:49:54,974 qa.base.BaseTest:87 - Wait for Sauce Labs Backpack
[INFO ] 16 Jun 2022 14:49:56,294 qa.base.BaseTest:87 - Wait for Sauce Labs Backpack
[INFO ] 16 Jun 2022 14:49:56,488 qa.base.BaseTest:87 - Wait for carry.allTheThings() with the sleek, streamlined Sly Pack that melds uncompromising style with unequaled laptop and tablet protection.
[INFO ] 16 Jun 2022 14:50:00,188 qa.base.BaseTest:87 - Wait for $29.99
[INFO ] 16 Jun 2022 14:50:00,274 qa.base.BaseTest:101 - Press Menu Button from - MenuPage
[INFO ] 16 Jun 2022 14:50:00,305 qa.base.BaseTest:87 - Wait for 
[INFO ] 16 Jun 2022 14:50:00,396 qa.base.BaseTest:101 - Press Logout Button from - SettingsPage
[INFO ] 16 Jun 2022 14:50:02,101 qa.base.BaseTest:87 - Wait for 
[INFO ] 16 Jun 2022 14:50:02,197 qa.base.BaseTest:115 - sendKeysLocated by By.chained({By.AccessibilityId: test-Username})Enter UserName
[INFO ] 16 Jun 2022 14:50:03,912 qa.base.BaseTest:87 - Wait for Username
[INFO ] 16 Jun 2022 14:50:04,488 qa.base.BaseTest:115 - sendKeysLocated by By.chained({By.AccessibilityId: test-Password})Enter Password
[INFO ] 16 Jun 2022 14:50:05,004 qa.base.BaseTest:87 - Wait for Password
[INFO ] 16 Jun 2022 14:50:05,084 qa.base.BaseTest:101 - Press Login Button
[INFO ] 16 Jun 2022 14:50:05,606 qa.base.BaseTest:87 - Wait for 
[INFO ] 16 Jun 2022 14:50:05,696 qa.base.BaseTest:101 - Press SLB Title from ProductsPage
[INFO ] 16 Jun 2022 14:50:06,874 qa.base.BaseTest:87 - Wait for Sauce Labs Backpack
[INFO ] 16 Jun 2022 14:50:08,209 qa.base.BaseTest:87 - Wait for Sauce Labs Backpack
[INFO ] 16 Jun 2022 14:50:08,359 qa.base.BaseTest:87 - Wait for carry.allTheThings() with the sleek, streamlined Sly Pack that melds uncompromising style with unequaled laptop and tablet protection.
[INFO ] 16 Jun 2022 14:50:12,519 qa.base.BaseTest:87 - Wait for $29.99
[INFO ] 16 Jun 2022 14:50:12,586 qa.base.BaseTest:101 - Press SLB Title from ProductsPage
[INFO ] 16 Jun 2022 14:50:12,612 qa.base.BaseTest:87 - Wait for 
[INFO ] 16 Jun 2022 14:50:13,644 qa.base.BaseTest:87 - Wait for Sauce Labs Backpack
[INFO ] 16 Jun 2022 14:50:13,827 qa.base.BaseTest:87 - Wait for $29.99
[INFO ] 16 Jun 2022 14:50:13,937 qa.base.BaseTest:101 - Press Menu Button from - MenuPage
[INFO ] 16 Jun 2022 14:50:13,968 qa.base.BaseTest:87 - Wait for 
[INFO ] 16 Jun 2022 14:50:14,063 qa.base.BaseTest:101 - Press Logout Button from - SettingsPage
[INFO ] 16 Jun 2022 14:50:15,680 qa.base.BaseTest:87 - Wait for 
[INFO ] 16 Jun 2022 14:59:12,260 qa.base.BaseTest:114 - sendKeys - Located by By.chained({By.AccessibilityId: test-Username}): Enter UserName
[INFO ] 16 Jun 2022 14:59:12,263 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.AccessibilityId: test-Username})
[INFO ] 16 Jun 2022 14:59:13,199 qa.base.BaseTest:114 - sendKeys - Located by By.chained({By.AccessibilityId: test-Password}): Enter Password
[INFO ] 16 Jun 2022 14:59:13,199 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.AccessibilityId: test-Password})
[INFO ] 16 Jun 2022 14:59:14,316 qa.base.BaseTest:101 - click - Located by By.chained({By.AccessibilityId: test-LOGIN}): Press Login Button
[INFO ] 16 Jun 2022 14:59:14,317 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.AccessibilityId: test-LOGIN})
[INFO ] 16 Jun 2022 14:59:14,932 qa.base.BaseTest:128 - getAttribute - Located by By.chained({By.xpath: (//android.widget.TextView[@content-desc="test-Item title"])[1]})text: getSLBTitle from ProductsPage
[INFO ] 16 Jun 2022 14:59:14,933 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.xpath: (//android.widget.TextView[@content-desc="test-Item title"])[1]})
[INFO ] 16 Jun 2022 14:59:16,223 qa.base.BaseTest:128 - getAttribute - Located by By.chained({By.xpath: (//android.widget.TextView[@content-desc="test-Price"])[1]})text: getSLBPrice from ProductsPage
[INFO ] 16 Jun 2022 14:59:16,224 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.xpath: (//android.widget.TextView[@content-desc="test-Price"])[1]})
[INFO ] 16 Jun 2022 14:59:16,386 qa.base.BaseTest:101 - click - Located by By.chained({By.AccessibilityId: test-Menu}): Press Menu Button from - MenuPage
[INFO ] 16 Jun 2022 14:59:16,386 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.AccessibilityId: test-Menu})
[INFO ] 16 Jun 2022 14:59:16,497 qa.base.BaseTest:101 - click - Located by By.chained({By.AccessibilityId: test-LOGOUT}): Press Logout Button from - SettingsPage
[INFO ] 16 Jun 2022 14:59:16,498 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.AccessibilityId: test-LOGOUT})
[INFO ] 16 Jun 2022 14:59:18,266 qa.base.BaseTest:114 - sendKeys - Located by By.chained({By.AccessibilityId: test-Username}): Enter UserName
[INFO ] 16 Jun 2022 14:59:18,267 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.AccessibilityId: test-Username})
[INFO ] 16 Jun 2022 14:59:20,012 qa.base.BaseTest:114 - sendKeys - Located by By.chained({By.AccessibilityId: test-Password}): Enter Password
[INFO ] 16 Jun 2022 14:59:20,012 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.AccessibilityId: test-Password})
[INFO ] 16 Jun 2022 14:59:21,097 qa.base.BaseTest:101 - click - Located by By.chained({By.AccessibilityId: test-LOGIN}): Press Login Button
[INFO ] 16 Jun 2022 14:59:21,097 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.AccessibilityId: test-LOGIN})
[INFO ] 16 Jun 2022 14:59:21,680 qa.base.BaseTest:101 - click - Located by By.chained({By.xpath: (//android.widget.TextView[@content-desc="test-Item title"])[1]}): Press SLB Title from ProductsPage
[INFO ] 16 Jun 2022 14:59:21,681 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.xpath: (//android.widget.TextView[@content-desc="test-Item title"])[1]})
[INFO ] 16 Jun 2022 14:59:22,980 qa.base.BaseTest:128 - getAttribute - Located by By.chained({By.xpath: //android.view.ViewGroup[@content-desc="test-Description"]/android.widget.TextView[1]})text: getSLBTitleProdDetails from ProductDetailsPage
[INFO ] 16 Jun 2022 14:59:22,980 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.xpath: //android.view.ViewGroup[@content-desc="test-Description"]/android.widget.TextView[1]})
[INFO ] 16 Jun 2022 14:59:24,143 qa.base.BaseTest:128 - getAttribute - Located by By.chained({By.xpath: //android.view.ViewGroup[@content-desc="test-Description"]/android.widget.TextView[2]})text: getProdDetailsSlbDetails from ProductDetailsPage
[INFO ] 16 Jun 2022 14:59:24,144 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.xpath: //android.view.ViewGroup[@content-desc="test-Description"]/android.widget.TextView[2]})
[INFO ] 16 Jun 2022 14:59:24,267 qa.base.BaseTest:135 - scrollToElement - Methode scrollToElement called from ProductDetailsTest_validateProdTitleDetailsPrice
[INFO ] 16 Jun 2022 14:59:28,016 qa.base.BaseTest:128 - getAttribute - Located by By.chained({By.AccessibilityId: test-Price})text: getProdDetailsSlbPrice from ProductDetailsPage
[INFO ] 16 Jun 2022 14:59:28,017 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.AccessibilityId: test-Price})
[INFO ] 16 Jun 2022 14:59:28,180 qa.base.BaseTest:101 - click - Located by By.chained({By.AccessibilityId: test-Menu}): Press Menu Button from - MenuPage
[INFO ] 16 Jun 2022 14:59:28,181 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.AccessibilityId: test-Menu})
[INFO ] 16 Jun 2022 14:59:28,279 qa.base.BaseTest:101 - click - Located by By.chained({By.AccessibilityId: test-LOGOUT}): Press Logout Button from - SettingsPage
[INFO ] 16 Jun 2022 14:59:28,280 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.AccessibilityId: test-LOGOUT})
[INFO ] 16 Jun 2022 14:59:30,030 qa.base.BaseTest:114 - sendKeys - Located by By.chained({By.AccessibilityId: test-Username}): Enter UserName
[INFO ] 16 Jun 2022 14:59:30,031 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.AccessibilityId: test-Username})
[INFO ] 16 Jun 2022 14:59:31,833 qa.base.BaseTest:114 - sendKeys - Located by By.chained({By.AccessibilityId: test-Password}): Enter Password
[INFO ] 16 Jun 2022 14:59:31,833 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.AccessibilityId: test-Password})
[INFO ] 16 Jun 2022 14:59:32,914 qa.base.BaseTest:101 - click - Located by By.chained({By.AccessibilityId: test-LOGIN}): Press Login Button
[INFO ] 16 Jun 2022 14:59:32,916 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.AccessibilityId: test-LOGIN})
[INFO ] 16 Jun 2022 14:59:33,495 qa.base.BaseTest:101 - click - Located by By.chained({By.xpath: (//android.widget.TextView[@content-desc="test-Item title"])[1]}): Press SLB Title from ProductsPage
[INFO ] 16 Jun 2022 14:59:33,496 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.xpath: (//android.widget.TextView[@content-desc="test-Item title"])[1]})
[INFO ] 16 Jun 2022 14:59:34,846 qa.base.BaseTest:128 - getAttribute - Located by By.chained({By.xpath: //android.view.ViewGroup[@content-desc="test-Description"]/android.widget.TextView[1]})text: getSLBTitleProdDetails from ProductDetailsPage
[INFO ] 16 Jun 2022 14:59:34,847 qa.base.BaseTest:87 - waitForElementVisibility - Located by By.chained({By.xpath: //android.view.ViewGroup[@content-desc="test-Description"]/android.widget.TextView[1]})
